watermark_type,mutator,threshold,score_mean,score_std,F1_fin,F1_min
Adaptive,SentenceMutator,49.42577,49.42577,3.365801,0.9411764705882353,0.875
Adaptive,SentenceMutator,52.791571,49.42577,3.365801,0.8,0.5
Adaptive,SentenceMutator,56.157372,49.42577,3.365801,0.5,0.0
Adaptive,SentenceMutator,59.523173,49.42577,3.365801,0.2,0.0
KGW,SentenceMutator,-0.82778,-0.82778,1.047094772,1.0,0.5
KGW,SentenceMutator,0.21931477199999994,-0.82778,1.047094772,0.7142857142857143,0.0
KGW,SentenceMutator,1.2664095439999998,-0.82778,1.047094772,0.0,0.0
KGW,SentenceMutator,2.3135043159999995,-0.82778,1.047094772,0.0,0.0
SIR,SentenceMutator,0.077541,0.077541,0.068233825,0.7142857142857143,0.6153846153846154
SIR,SentenceMutator,0.145774825,0.077541,0.068233825,0.5,0.36363636363636365
SIR,SentenceMutator,0.21400865,0.077541,0.068233825,0.0,0.0
SIR,SentenceMutator,0.282242475,0.077541,0.068233825,0.0,0.0
