,mutator,watermark,total_cases,quality_preserved,quality_not_preserved,quality_preserved_percentage,quality_not_preserved_percentage
0,Document1StepMutator,Adaptive,2,2,0,100.0,0.0
1,Document1StepMutator,KGW,14,7,7,50.0,50.0
2,Document1StepMutator,SIR,12,11,1,91.66666666666666,8.333333333333332
3,Document2StepMutator,Adaptive,8,5,3,62.5,37.5
4,Document2StepMutator,SIR,20,12,8,60.0,40.0
5,DocumentMutator,KGW,20,8,12,40.0,60.0
6,DocumentMutator,SIR,20,6,14,30.0,70.0
7,SentenceMutator,Adaptive,20,8,12,40.0,60.0
8,SentenceMutator,KGW,20,7,13,35.0,65.0
9,SentenceMutator,SIR,20,13,7,65.0,35.0
10,SpanMutator,Adaptive,2,2,0,100.0,0.0
11,SpanMutator,KGW,20,14,6,70.0,30.0
12,SpanMutator,SIR,20,5,15,25.0,75.0
13,WordMutator,KGW,20,4,16,20.0,80.0
